Nested Sampling Global Log-Evidence           :   -0.870327974261736159E+01  +/-    0.134116117648301336E+00
Nested Importance Sampling Global Log-Evidence:   -0.897738881839995173E+01  +/-    0.388388531948656371E-01

Dim No.       Mean        Sigma
   1    0.313645602045792005E+00    0.750215457819376763E-01
   2    0.307854505744587989E-01    0.220009184999317042E+00
   3    0.700168785395578510E+02    0.183120183825291605E+00
   4    0.516612957078377460E-14    0.280909897056127534E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.303333638357324242E+00
   2    0.959504538763338299E-01
   3    0.700182690933569916E+02
   4    0.464706734223857000E-14

MAP Parameters
Dim No.        Parameter
   1    0.303333638357324242E+00
   2    0.959504538763338299E-01
   3    0.700182690933569916E+02
   4    0.464706734223857000E-14
