Nested Sampling Global Log-Evidence           :   -0.534012800462504202E+02  +/-    0.174969236230125114E+00
Nested Importance Sampling Global Log-Evidence:   -0.543662822468276516E+02  +/-    0.180304814671253810E-01

Dim No.       Mean        Sigma
   1    0.297720508486708779E+00    0.616133949628202421E-02
   2    0.955553634625026238E-01    0.246012442576013721E-01
   3    0.701101069103381178E+02    0.173570767167943313E+00
   4    0.507069024682800955E-14    0.290957733625112504E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.297761133832240732E+00
   2    0.957732962631085982E-01
   3    0.701100788900817804E+02
   4    0.476039880710260385E-14

MAP Parameters
Dim No.        Parameter
   1    0.297761133832240732E+00
   2    0.957732962631085982E-01
   3    0.701100788900817804E+02
   4    0.476039880710260385E-14
