Nested Sampling Global Log-Evidence           :   -0.209965128889015062E+02  +/-    0.125501577701064154E+00
Nested Importance Sampling Global Log-Evidence:   -0.211606907358714089E+02  +/-    0.378976576763525030E-01

Dim No.       Mean        Sigma
   1    0.259480014146743099E+00    0.111906909266180840E+00
   2   -0.101035130299841591E+01    0.291513013524341835E+00
   3    0.702447996851387302E+02    0.859598846093650892E+00
   4    0.503311492292684845E-14    0.282472618361073425E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.245156071294026834E+00
   2   -0.905670949050494167E+00
   3    0.700820600959880409E+02
   4    0.586567377451373098E-14

MAP Parameters
Dim No.        Parameter
   1    0.245156071294026834E+00
   2   -0.905670949050494167E+00
   3    0.700820600959880409E+02
   4    0.586567377451373098E-14
