Nested Sampling Global Log-Evidence           :   -0.539366818235604200E+02  +/-    0.135240661741146878E+00
Nested Importance Sampling Global Log-Evidence:   -0.552645616507355797E+02  +/-    0.545576609000693463E-01

Dim No.       Mean        Sigma
   1    0.298079266044609326E+00    0.587801906584492322E-02
   2    0.951501762740494667E-01    0.235805063443461152E-01
   3    0.412207411119426756E-01    0.174281735657183168E+01
   4    0.701040776623706137E+02    0.172210560579758282E+00
   5    0.501870266428762665E-14    0.289396102966375869E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.297499059283184986E+00
   2    0.967665277488314324E-01
   3   -0.237092226542154716E+01
   4    0.701095449894863663E+02
   5    0.158890584614538400E-14

MAP Parameters
Dim No.        Parameter
   1    0.297499059283184986E+00
   2    0.967665277488314324E-01
   3   -0.237092226542154716E+01
   4    0.701095449894863663E+02
   5    0.158890584614538400E-14
