Nested Sampling Global Log-Evidence           :   -0.130745836822251409E+02  +/-    0.169961990970861537E+00
Nested Importance Sampling Global Log-Evidence:   -0.136919120755873234E+02  +/-    0.100760425048289484E+00

Dim No.       Mean        Sigma
   1    0.300132468044551681E+00    0.606028470601030315E-02
   2    0.982987249255345141E-01    0.439078924980326399E-01
   3    0.700061090993106916E+02    0.368311803785999536E+00
   4    0.496595238618444756E-14    0.288925389603299546E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300117492701377497E+00
   2    0.100501385001567023E+00
   3    0.699864215103264371E+02
   4    0.556733392816082106E-14

MAP Parameters
Dim No.        Parameter
   1    0.300117492701377497E+00
   2    0.100501385001567023E+00
   3    0.699864215103264371E+02
   4    0.556733392816082106E-14
