Nested Sampling Global Log-Evidence           :   -0.117411317332817102E+02  +/-    0.160011591681606336E+00
Nested Importance Sampling Global Log-Evidence:   -0.119282383999148163E+02  +/-    0.293230071559159276E-01

Dim No.       Mean        Sigma
   1    0.300022858645756119E+00    0.753176564560152986E-02
   2    0.969693225146879278E-01    0.486095618329526816E-01
   3    0.700185167271419999E+02    0.375191731546836160E+00
   4    0.493345872190037071E-13    0.290909988193780863E-13

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.301049284837551168E+00
   2    0.959640272285102180E-01
   3    0.700027226297278844E+02
   4    0.657721854839125083E-13

MAP Parameters
Dim No.        Parameter
   1    0.301049284837551168E+00
   2    0.959640272285102180E-01
   3    0.700027226297278844E+02
   4    0.657721854839125083E-13
